"name","hex","x"
"wisteria","#A6A6A6",1
"wisteria","#CDAA7D",2
"wisteria","#EEE685",3
"wisteria","#FFBBFF",4
"wisteria","#D1EEEE",5
"wisteria","#6495ED",6
"wisteria","#6959CD",7
"higanbana","#FED731",1
"higanbana","#FDA888",2
"higanbana","#EF5960",3
"higanbana","#E70F25",4
"higanbana","#8C030B",5
"higanbana","#450110",6
"higanbana","#1F0A0A",7
"gra","#200200",1
"gra","#BF051E",2
"gra","#FC3E57",3
"gra","#E3C9EC",4
"gra","#C29CE2",5
"gra","#811ED0",6
"gra","#36044A",7
"bocchi","#F2C9D5",1
"bocchi","#B43E44",2
"bocchi","#FADF92",3
"bocchi","#496496",4
"bocchi","#282828",5
"bocchi","#904869",6
"frieren1","#DFE1BC",1
"frieren1","#90C6A7",2
"frieren1","#3D646A",3
"frieren1","#795862",4
"frieren1","#141313",5
"frieren1","#E2E1E4",6
"frieren1","#A49FB8",7
"frieren1","#6A83A9",8
"frieren2","#E6E2F1",1
"frieren2","#F8E8E3",2
"frieren2","#F6D481",3
"frieren2","#F5A556",4
"frieren2","#FB9FB9",5
"frieren2","#C94D6C",6
"frieren2","#4F4E46",7
"frieren3","#462D2E",1
"frieren3","#BA8F7D",2
"frieren3","#AB6B7A",3
"frieren3","#CB6B6E",4
"frieren3","#E09DBD",5
"frieren3","#47324E",6
"frieren3","#FFD1BF",7
"ubel","#C9BFE1",1
"ubel","#958AC3",2
"ubel","#433D64",3
"ubel","#110F09",4
"ubel","#3A3E25",5
"ubel","#636B3C",6
"ubel","#A4AD72",7
"YGO","#0E1118",1
"YGO","#DC383A",2
"YGO","#A90C1B",3
"YGO","#FED568",4
"YGO","#C48233",5
"YGO","#84C4EF",6
"YGO","#1D4564",7
"bop","#BB4C45",1
"bop","#9C81A4",2
"bop","#5D69D5",3
"bop","#23369D",4
"bop","#883C7A",5
"bop","#FF8600",6
"bop","#FFC4D6",7
"bop","#E75001",8
"liam","#354099",1
"liam","#C0C9F6",2
"liam","#64296F",3
"liam","#955996",4
"liam","#C8D49D",5
"liam","#5B6555",6
"liam","#A39E9D",7
"bir","#5952C4",1
"bir","#918CFE",2
"bir","#DEDDFF",3
"bir","#FFFF4C",4
"bir","#CCA933",5
"bir","#5A834E",6
"bir","#77998E",7
